industry_id,industry_name,sector_group,is_financial,is_total_market_rollup,region_id
1,Advertising,Communication Services,false,false,1
2,Aerospace/Defense,Industrials,false,false,1
3,Air Transport,Industrials,false,false,1
4,Apparel,Consumer Discretionary,false,false,1
5,Auto & Truck,Consumer Discretionary,false,false,1
6,Auto Parts,Consumer Discretionary,false,false,1
7,Bank (Money Center),Financials,true,false,1
8,Banks (Regional),Financials,true,false,1
9,Beverage (Alcoholic),Consumer Staples,false,false,1
10,Beverage (Soft),Consumer Staples,false,false,1
11,Broadcasting,Communication Services,false,false,1
12,Brokerage & Investment Banking,Financials,true,false,1
13,Building Materials,Materials,false,false,1
14,Business & Consumer Services,Other,false,false,1
15,Cable TV,Communication Services,false,false,1
16,Chemical (Basic),Materials,false,false,1
17,Chemical (Diversified),Materials,false,false,1
18,Chemical (Specialty),Materials,false,false,1
19,Coal & Related Energy,Energy,false,false,1
20,Computer Services,Technology,false,false,1
21,Computers/Peripherals,Technology,false,false,1
22,Construction Supplies,Industrials,false,false,1
23,Diversified,Other,false,false,1
24,Drugs (Biotechnology),Healthcare,false,false,1
25,Drugs (Pharmaceutical),Healthcare,false,false,1
26,Education,Other,false,false,1
27,Electrical Equipment,Other,false,false,1
28,Electronics (Consumer & Office),Technology,false,false,1
29,Electronics (General),Technology,false,false,1
30,Engineering/Construction,Industrials,false,false,1
31,Entertainment,Communication Services,false,false,1
32,Environmental & Waste Services,Industrials,false,false,1
33,Farming/Agriculture,Consumer Staples,false,false,1
34,Financial Svcs. (Non-bank & Insurance),Financials,true,false,1
35,Food Processing,Consumer Staples,false,false,1
36,Food Wholesalers,Consumer Staples,false,false,1
37,Furn/Home Furnishings,Consumer Discretionary,false,false,1
38,Green & Renewable Energy,Energy,false,false,1
39,Healthcare Information and Technology,Healthcare,false,false,1
40,Healthcare Products,Healthcare,false,false,1
41,Healthcare Support Services,Healthcare,false,false,1
42,Homebuilding,Consumer Discretionary,false,false,1
43,Hospitals/Healthcare Facilities,Healthcare,false,false,1
44,Hotel/Gaming,Consumer Discretionary,false,false,1
45,Household Products,Consumer Staples,false,false,1
46,Information Services,Technology,false,false,1
47,Insurance (General),Financials,true,false,1
48,Insurance (Life),Financials,true,false,1
49,Insurance (Prop/Cas.),Financials,true,false,1
50,Investments & Asset Management,Financials,true,false,1
51,Machinery,Industrials,false,false,1
52,Metals & Mining,Materials,false,false,1
53,Office Equipment & Services,Other,false,false,1
54,Oil/Gas (Integrated),Energy,false,false,1
55,Oil/Gas (Production and Exploration),Energy,false,false,1
56,Oil/Gas Distribution,Energy,false,false,1
57,Oilfield Svcs/Equip.,Energy,false,false,1
58,Packaging & Container,Other,false,false,1
59,Paper/Forest Products,Materials,false,false,1
60,Power,Energy,false,false,1
61,Precious Metals,Materials,false,false,1
62,Publishing & Newspapers,Communication Services,false,false,1
63,R.E.I.T.,Financials,true,false,1
64,Real Estate (Development),Real Estate,false,false,1
65,Real Estate (General/Diversified),Real Estate,false,false,1
66,Real Estate (Operations & Services),Real Estate,false,false,1
67,Recreation,Consumer Discretionary,false,false,1
68,Reinsurance,Financials,true,false,1
69,Restaurant/Dining,Consumer Discretionary,false,false,1
70,Retail (Automotive),Consumer Discretionary,false,false,1
71,Retail (Building Supply),Consumer Discretionary,false,false,1
72,Retail (Distributors),Consumer Discretionary,false,false,1
73,Retail (General),Consumer Discretionary,false,false,1
74,Retail (Grocery and Food),Consumer Staples,false,false,1
75,Retail (REITs),Consumer Discretionary,false,false,1
76,Retail (Special Lines),Consumer Discretionary,false,false,1
77,Rubber& Tires,Other,false,false,1
78,Semiconductor,Technology,false,false,1
79,Semiconductor Equip,Technology,false,false,1
80,Shipbuilding & Marine,Industrials,false,false,1
81,Shoe,Consumer Discretionary,false,false,1
82,Software (Entertainment),Technology,false,false,1
83,Software (Internet),Technology,false,false,1
84,Software (System & Application),Technology,false,false,1
85,Steel,Materials,false,false,1
86,Telecom (Wireless),Communication Services,false,false,1
87,Telecom. Equipment,Communication Services,false,false,1
88,Telecom. Services,Communication Services,false,false,1
89,Tobacco,Consumer Staples,false,false,1
90,Transportation,Industrials,false,false,1
91,Transportation (Railroads),Industrials,false,false,1
92,Trucking,Industrials,false,false,1
93,Utility (General),Utilities,false,false,1
94,Utility (Water),Utilities,false,false,1
