industry_id,num_firms,dividends,payout,dividends_plus_buybacks,cash_return_pct_net_income,fcfe,net_cash_returned_pct_fcfe,vintage_id,region_id
1,52,571.1,0.0027465942927341557,2751.489,,1068.7549999999994,0.7068486229304197,1,1
2,79,12526.490999999998,0.5015234087265174,32083.936,1.284545284715682,6587.801000000021,0.6161524915521878,1,1
3,23,812.0,0.13207154048602646,5182.741000000001,0.8429711672538047,-853.9879999999982,,1,1
4,35,1218.6199999999997,0.5009316781675721,6158.235999999999,2.5314335018561627,1761.7259999999997,3.3420106191314654,1,1
5,33,3743.2,0.5830852925800871,12518.957000000002,1.9501014386467543,9814.40199999999,0.7744783635314724,1,1
6,35,693.9300000000001,1.0954685021035435,2351.1330000000003,3.711602244831915,360.3819999999994,4.8242920012653325,1,1
7,15,40401.779,0.2811083405068467,91770.65,0.6385237424504165,103238.16399999998,0.8684932637895422,1,1
8,568,18200.19977999999,0.36088813078537474,29963.263,0.5941355648295298,44904.87799999998,0.573832847291112,1,1
9,14,1538.0,0.00224154517375531,3718.8049999999994,24.22721616709119,-935.6449999999999,,1,1
10,27,17711.0,0.7266805539200581,20640.19,0.8468649258774346,19556.36,1.0275844789112083,1,1
11,24,894.77,0.608281553794069,2423.978,1.6478660484846832,-11349.776,,1,1
12,32,14207.813999999998,0.2761307603548932,31828.72899999999,0.6185955939386479,36983.656000000025,0.8024866984486329,1,1
13,41,2369.8299999999995,0.2555367297858912,12320.739999999996,1.3285347928510571,8018.5329999999985,1.4903090128830296,1,1
14,155,8076.907899999999,0.42604327197368147,22036.405,1.1623832046837126,20539.391000000003,1.0191969664533869,1,1
15,9,5224.2,0.3346443578968945,17685.43,1.1328680690786102,19089.22,0.9024323675875703,1,1
16,29,4092.2999999999993,0.004131630042662541,4792.709999999999,,-8687.020999999999,,1,1
17,4,274.0,,282.08,,-459.916,,1,1
18,59,7870.1100000000015,1.3000935823024555,14612.83,2.413949297058972,-2091.108999999993,,1,1
19,16,72.21,0.0008172413793103449,337.23199999999997,,-409.2320000000001,,1,1
20,64,7760.469999999998,0.5099205071561956,15395.196999999998,1.0115787654625998,16970.477,0.8193700742766393,1,1
21,36,19202.07,0.1603021523436578,125382.12400000004,1.0467113359455205,108560.60100000002,1.1295458192977397,1,1
22,40,7224.299999999998,0.33492609794429107,15242.700999999997,0.7066675481446706,15418.071999999993,0.9819953493536678,1,1
23,20,4928.379999999999,0.06588241094241719,12814.289999999999,0.1713009791686735,63724.961,0.17467569732996774,1,1
24,496,20803.6,0.0011705552086895756,35208.846,,1683.7799999999584,5.924955160413025,1,1
25,228,42241.200000000004,0.5863499201100111,59827.339,0.8304630418417219,72020.019,0.7369914051258442,1,1
26,32,339.3,0.13829432112895118,1477.2799999999997,0.6021203498891158,2135.3999999999996,0.17567434672660862,1,1
27,112,2905.707000000001,2.296858140874997,8309.0,6.567969273065159,-226.36199999999928,,1,1
28,8,0.0,,109.78899999999999,,-141.88699999999994,,1,1
29,114,2212.1769999999997,0.19877481128012497,8449.374999999996,0.7592172421374987,8267.836000000005,0.7467095380217984,1,1
30,48,826.9089999999999,0.08329543326601473,3764.3540000000003,0.37918742860055416,7733.593000000004,0.3670859068999362,1,1
31,92,2622.463,0.22878758058060275,19102.065000000002,1.6664926198933643,19008.954,0.8189642628416062,1,1
32,53,2582.174,0.39802382617858456,3994.3320000000003,0.6156979760727039,5306.558999999998,0.7099020287911623,1,1
33,35,3604.14,0.4144218728979314,6501.256,0.7475466235243121,7799.345999999999,0.8194337063646108,1,1
34,176,24037.584000000006,0.1852408141048518,105217.34999999998,0.8108363790618524,133452.521,0.7321416281075722,1,1
35,78,11627.099999999999,1.4311110049852744,18534.779,2.281336378105457,4043.0620000000044,4.460733721125221,1,1
36,13,1034.7,0.3807473643539217,3257.566,1.1987142830858677,1199.5930000000005,2.53702297362522,1,1
37,27,640.236,1.0812222088995695,1150.0729999999999,1.9422282868438427,-123.0080000000005,,1,1
38,15,45.1,0.0012899800099950027,48.345,,-685.7310000000001,,1,1
40,204,9780.43,0.3564070775543777,21628.873,0.7881742844358363,25623.827000000027,0.6529374398289524,1,1
41,104,16728.049,0.4936925996971039,48292.14600000001,1.425239434897166,29519.622999999978,1.5194130697400858,1,1
39,115,1927.9700000000003,0.1684931886355169,18008.863,1.5738682399467734,15621.74300000001,1.0387376107774908,1,1
42,30,1533.8899999999999,0.09572188588883335,11748.837000000003,0.7331821934040273,12219.448999999997,0.9434246175911865,1,1
43,31,988.3822000000001,0.09335383175077289,12608.8,1.1909156131900644,6885.206000000001,1.8160044884641064,1,1
44,63,4468.045,0.1828047663939815,32179.880000000005,1.316601655978478,21510.92600000001,1.284348474816937,1,1
45,110,16754.746,0.6724627371530681,17209.388000000003,0.6907100924841932,24324.48999999999,0.6394145982094592,1,1
46,15,847.7,0.3206733497257424,3538.37,1.3385171174579156,3956.86,0.7576512689354691,1,1
47,21,2582.1079999999997,0.3664220974786759,4010.782,0.5691625419888396,9866.094,-1.074065683947467,1,1
48,20,6322.820000000001,0.3360679830191276,17713.203,0.9414850343704804,17706.757000000005,0.9141879001332653,1,1
49,57,10949.780999999994,0.2248570127220276,25530.087999999996,0.5242679577071439,47941.89299999998,0.5025078588365296,1,1
50,283,21514.293000000005,0.5824006202804275,36336.42,0.983641598019053,2454.830999999999,9.59904897730231,1,1
51,105,6954.040999999999,0.33425683617051016,18732.537000000004,0.9004086330619883,22524.532999999996,0.7703127074821045,1,1
52,73,3335.5,0.5199944937174282,3497.668,0.5452760008549392,3388.0769999999998,0.5591738322358081,1,1
53,14,341.1599999999999,0.5740361220760601,900.77,1.5156364101373339,406.646,2.1654854590971016,1,1
54,4,30447.488,0.6773393605566876,63620.18,1.4153040158748522,42336.327999999994,1.479513716919427,1,1
55,142,14786.459980000001,0.4169878127780144,31237.432999999997,0.8809159786107077,963.2000000000286,26.402380606311507,1,1
56,23,9873.14,0.6943485555005051,13627.616999999998,0.958389750258188,1136.9449999999977,9.80092880482347,1,1
57,97,9182.870000000003,0.6007508739894286,23550.493,1.540692534320089,14645.449999999983,1.4983539597622486,1,1
58,19,2767.8,0.555824875201471,6192.389999999999,1.243545197972699,3276.4279999999967,1.7751130194223728,1,1
59,6,1261.0,3.32542194092827,1492.3,3.93539029535865,98.2,15.196537678207738,1,1
60,46,27437.156000000006,0.5495789196209595,28249.540000000005,0.565851346728104,-44739.143000000004,,1,1
61,56,2610.8014999999996,0.25150955741549114,5309.584999999999,0.5114947932310941,7240.689000000007,0.5391247987587915,1,1
62,19,454.2020000000001,0.23088767328572254,1035.207,0.5262340007289553,2128.0940000000005,0.4815351201591659,1,1
63,190,54420.04350000001,1.9487195504756645,46810.65900000002,1.6762361897772031,64257.505,0.13225796737672915,1,1
64,14,0.0,0.0,12.85,0.049385278190923095,527.102,-1.620024207838331,1,1
65,12,62.900000000000006,0.26963305898491086,95.077,0.40756601508916324,124.16099999999997,0.7635006161355016,1,1
66,54,360.13,0.27052526808015165,2854.0359999999996,2.143917068865142,2589.491,0.6693442842628144,1,1
67,49,1148.6999999999996,0.00562724438125783,3088.6259999999997,,-2488.506,,1,1
68,1,237.0,0.27335640138408307,351.0,0.40484429065743943,519.8,0.6675644478645634,1,1
69,64,11348.427999999998,0.6454113964275203,18587.011,1.0570863845568463,12592.447999999984,1.3712352038301068,1,1
70,34,644.6489999999999,0.06778339897708052,7657.513000000001,0.805170346733154,7479.805999999998,0.7279703511026893,1,1
71,14,12039.951,0.5400747405477563,14435.190999999999,0.6475177543565009,18907.955000000005,0.7276932381106257,1,1
72,62,5012.065000000001,0.35151398729796973,10799.800000000003,0.7574284770889071,2699.2560000000035,2.3413781427178435,1,1
73,23,13006.525,0.11726860120191408,29796.525,0.26864952840423273,33423.91999999999,0.881272304385602,1,1
74,15,1367.2,0.374369182997856,9034.250000000002,2.473774715841414,8999.532,0.9795196016859548,1,1
75,26,9864.233999999997,1.614333910763689,6345.755,1.0385162685615767,13166.333999999997,0.018165572892196044,1,1
76,94,4703.787,0.29933168502542606,13484.790999999997,0.8581224473484235,9333.484000000006,1.3535738637361987,1,1
77,3,0.0,,0.0,,-1934.3,,1,1
78,66,25363.1,0.163921671873215,106612.07400000002,0.689033651720449,111403.03299999997,0.8744531219360971,1,1
79,31,3803.6,0.1935644354407952,16093.536999999998,0.8189968460538829,15000.766000000001,1.0224863183653419,1,1
80,8,106.30000000000001,0.14665103124784443,674.69,0.9307994757536043,437.5659999999999,1.522627443631361,1,1
81,11,2475.4700000000003,0.6493070127580998,4774.794,1.2524115536343796,3314.2909999999997,1.3014964588203026,1,1
82,77,15397.205999999998,0.08336933665167408,121449.33600000001,0.6575966171464018,70403.63199999998,1.6842965431101629,1,1
83,29,142.758,0.00022003390875462395,6727.737,,-10619.365999999998,,1,1
84,309,34027.14220000002,0.20984272413063565,97914.657,0.6038320302195935,82068.6810000002,0.49944612854201875,1,1
85,19,1355.8449999999998,0.6506039648192232,4101.590999999999,1.968153709802258,-1766.9999999999977,,1,1
86,12,6032.2,0.5144702760836396,18865.543,1.6089919292592711,13186.978000000003,1.4304814188663997,1,1
87,57,7331.743,0.4144942269536068,18065.997000000003,1.0213466921387153,15844.357000000013,1.0165830648728749,1,1
88,39,19576.644,0.47681709049527965,15665.99,0.3815675338187764,35612.62800000002,0.38750268584503206,1,1
89,10,15432.85,0.8760466767746319,16460.82,0.9343994568718931,17144.259000000002,0.9533705714548525,1,1
90,19,7282.200000000001,0.2912283098456141,17237.828,0.6893718263504712,16886.497,0.9769754496743761,1,1
91,4,5419.8,0.42695761777217583,11615.8,0.9150622341263589,9491.039999999999,1.2223223166270503,1,1
92,26,906.1200000000001,0.2836976246444857,3576.0330000000004,1.1196221998745135,-784.3369999999978,,1,1
93,14,11209.699999999999,0.6540272470025379,11283.999999999998,0.6583622626097609,-23132.380000000005,,1,1
94,14,1246.75,0.3483342398441463,1253.591,0.5674591354967792,-2217.8270000000007,,1,1
